Gen;Avg Gen Fitness;Fit of Gen best;Fit of Total Best;total best contact cnt;total best overlaps cnt;crossover rate;mutation rate
420;9,821667;10,000000;10,000000;10;0;0,000000;0,000000
421;9,816667;10,000000;10,000000;10;0;0,000000;0,000000
422;9,751032;10,000000;10,000000;10;0;0,000000;0,000000
423;9,683571;10,000000;10,000000;10;0;0,000000;0,000000
424;9,809405;10,000000;10,000000;10;0;0,000000;0,000000
425;9,806667;10,000000;10,000000;10;0;0,000000;0,000000
426;9,757143;10,000000;10,000000;10;0;0,000000;0,000000
427;9,865000;10,000000;10,000000;10;0;0,000000;0,000000
428;9,897500;10,000000;10,000000;10;0;0,000000;0,000000
429;9,738405;10,000000;10,000000;10;0;0,000000;0,000000
430;9,882500;10,000000;10,000000;10;0;0,000000;0,000000
431;9,811667;10,000000;10,000000;10;0;0,000000;0,000000
432;9,775167;10,000000;10,000000;10;0;0,000000;0,000000
433;9,858167;10,000000;10,000000;10;0;0,000000;0,000000
434;9,596167;10,000000;10,000000;10;0;0,000000;0,000000
435;9,572417;10,000000;10,000000;10;0;0,000000;0,000000
436;9,643333;10,000000;10,000000;10;0;0,000000;0,000000
